epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
65,3706.34,0.65028,0.2599,0.0038,0.97259,0.98138,0.99024,0.83241,0.63961,0.24096,0.00517,0.0007328,0.0007328,0.0007328
66,3763.22,0.65994,0.27548,0.0038,0.97069,0.98101,0.98952,0.83136,0.64371,0.2407,0.00522,0.000713,0.000713,0.000713
67,3820.4,0.65656,0.25971,0.00382,0.97157,0.98343,0.98913,0.83311,0.6407,0.24005,0.0052,0.0006932,0.0006932,0.0006932
68,3877.29,0.65624,0.26851,0.0039,0.97552,0.97793,0.98978,0.83068,0.63808,0.24156,0.00517,0.0006734,0.0006734,0.0006734
69,3934.71,0.64661,0.25815,0.00375,0.97231,0.98063,0.99046,0.82533,0.6531,0.24665,0.00532,0.0006536,0.0006536,0.0006536
70,56.1595,0.64129,0.2598,0.00371,0.97672,0.97653,0.98922,0.82665,0.6549,0.25224,0.00533,0.0006338,0.0006338,0.0006338
71,113.075,0.63776,0.25712,0.00374,0.96834,0.98382,0.9901,0.83356,0.64043,0.23969,0.0052,0.000614,0.000614,0.000614
72,169.962,0.63549,0.25163,0.00367,0.97255,0.97672,0.99022,0.8308,0.6364,0.24728,0.00514,0.0005942,0.0005942,0.0005942
73,227.216,0.63141,0.25093,0.00369,0.97187,0.98434,0.99017,0.83252,0.63695,0.24069,0.00516,0.0005744,0.0005744,0.0005744
74,284.172,0.64699,0.25606,0.00373,0.96874,0.98358,0.98932,0.8263,0.65334,0.23964,0.00529,0.0005546,0.0005546,0.0005546
75,341.156,0.63333,0.24533,0.00364,0.96963,0.9835,0.99027,0.83414,0.63555,0.23405,0.00516,0.0005348,0.0005348,0.0005348
76,398.248,0.62413,0.2483,0.00368,0.96675,0.98429,0.98999,0.83042,0.63931,0.2433,0.00516,0.000515,0.000515,0.000515
77,455.338,0.62549,0.24357,0.00365,0.97428,0.97793,0.99057,0.82808,0.64915,0.24532,0.00531,0.0004952,0.0004952,0.0004952
78,512.306,0.62833,0.24515,0.0036,0.97189,0.98045,0.9903,0.83244,0.63336,0.24567,0.00514,0.0004754,0.0004754,0.0004754
79,569.377,0.61809,0.23294,0.00356,0.97435,0.97715,0.99027,0.83402,0.63915,0.24693,0.00517,0.0004556,0.0004556,0.0004556
80,626.882,0.61524,0.2361,0.00359,0.97067,0.98038,0.98838,0.82551,0.64922,0.24911,0.00527,0.0004358,0.0004358,0.0004358
81,684.006,0.61935,0.23437,0.00352,0.97178,0.98223,0.98973,0.8307,0.64042,0.24512,0.00517,0.000416,0.000416,0.000416
82,741.179,0.61171,0.23212,0.00355,0.96795,0.98421,0.99054,0.83517,0.63419,0.24139,0.00515,0.0003962,0.0003962,0.0003962
83,798.388,0.60735,0.23578,0.00352,0.97316,0.982,0.99048,0.83418,0.63791,0.23853,0.00518,0.0003764,0.0003764,0.0003764
84,855.525,0.60387,0.23312,0.00345,0.9755,0.97588,0.99023,0.8296,0.64371,0.2397,0.00524,0.0003566,0.0003566,0.0003566
85,912.505,0.61171,0.22944,0.00353,0.97587,0.97537,0.98996,0.83065,0.64335,0.23945,0.00523,0.0003368,0.0003368,0.0003368
86,969.57,0.59976,0.2249,0.00343,0.9706,0.98138,0.99019,0.83164,0.64156,0.24848,0.00521,0.000317,0.000317,0.000317
87,1026.96,0.60037,0.22701,0.00346,0.97014,0.97628,0.9898,0.83087,0.64011,0.2542,0.0052,0.0002972,0.0002972,0.0002972
88,1084.1,0.60166,0.23013,0.00347,0.96829,0.98206,0.99047,0.83271,0.64073,0.24615,0.00521,0.0002774,0.0002774,0.0002774
89,1141.16,0.59845,0.22255,0.00345,0.96774,0.98519,0.99076,0.83159,0.64131,0.23756,0.00519,0.0002576,0.0002576,0.0002576
90,1198.18,0.58946,0.21738,0.00338,0.97395,0.98105,0.9906,0.8352,0.63845,0.2461,0.00518,0.0002378,0.0002378,0.0002378
91,1255.66,0.55288,0.18613,0.00378,0.97377,0.97403,0.98999,0.83049,0.64522,0.25208,0.00526,0.000218,0.000218,0.000218
92,1312.39,0.55051,0.18187,0.00373,0.97308,0.98138,0.9903,0.82635,0.65456,0.2401,0.00536,0.0001982,0.0001982,0.0001982
93,1369.07,0.54577,0.18017,0.00377,0.9727,0.97996,0.99065,0.8295,0.6466,0.24075,0.00529,0.0001784,0.0001784,0.0001784
94,1425.83,0.54015,0.17544,0.00361,0.9723,0.98265,0.99052,0.82947,0.64984,0.24264,0.00531,0.0001586,0.0001586,0.0001586
95,1483.05,0.54286,0.18235,0.00366,0.96972,0.97969,0.98945,0.83023,0.64812,0.24892,0.00528,0.0001388,0.0001388,0.0001388
96,1539.8,0.53696,0.17828,0.00363,0.97155,0.98096,0.99044,0.82968,0.64914,0.23984,0.0053,0.000119,0.000119,0.000119
97,1596.46,0.52995,0.17556,0.00358,0.97057,0.98096,0.99035,0.82841,0.64868,0.24109,0.00529,9.92e-05,9.92e-05,9.92e-05
98,1653.15,0.5251,0.17298,0.00357,0.97387,0.97773,0.9902,0.82713,0.64677,0.24402,0.00528,7.94e-05,7.94e-05,7.94e-05
99,1709.96,0.52759,0.17264,0.00354,0.9759,0.97682,0.99006,0.82736,0.64781,0.23968,0.00529,5.96e-05,5.96e-05,5.96e-05
100,1766.69,0.52783,0.17274,0.00354,0.97659,0.97672,0.99054,0.82819,0.64716,0.23938,0.00528,3.98e-05,3.98e-05,3.98e-05
